link_produk,brand,harga,lokasi_toko,potongan,voucher_klaim,penjualan,jumlah_rating,keunggulan,metode_transaksi
https://www.lazada.co.id/products/pdp-i7682872754.html,Infinix Note 10 Pro Smartphone Like New Ram 8/128 Gb - Free Sim Card,Rp1.600.000,Kota Jakarta Selatan,6% Off,Voucher save 6%,,,,
https://www.lazada.co.id/products/pdp-i8734748950.html,Infinix smart 9 HD 4/64GB-up to 8GB extended RAM - 6.7 inch 90Hz punch hole display-Helio octa core-5000 mAh - Black,Rp1.150.000,Kota Jakarta Selatan,4% Off,Voucher save 4%,,,,
https://www.lazada.co.id/products/pdp-i7582218004.html,Lcd Infinix X6831 Spark 10 Pro / Hot 30 / Note 30 X6833 / Pova 5 / Pova 5 Pro 5G Fullset,Rp149.984,Kota Jakarta Selatan,38% Off,Voucher save 38%,136 sold,(46),,
https://www.lazada.co.id/products/pdp-i8196574775.html,Samsung Galaxy A04e RAM 4/64 GB Main Camera : Dual 13 MP - Sein Flash Sale,Rp1.000.000,Kota Jakarta Selatan,,,,,,
https://www.lazada.co.id/products/pdp-i6229232938.html,Headset Macaron Musik Angel Handsfree Musik Angel Macaron Mate Color Extra Bass,Rp5.390,Kota Jakarta Utara,2% Off,Voucher save 2%,10.8K sold,(655),,
https://www.lazada.co.id/products/pdp-i7602624054.html,Smartphone Infinix Note 12 2023 RAM 8 GB ROM 256 GB Fullshet Like New- Big Sale,Rp1.950.000,Kota Jakarta Selatan,3% Off,Voucher save 3%,,,,
https://www.lazada.co.id/products/pdp-i8294752460.html,"Vivo Y100 5g, 4g 8/128 8/256 Ram 8 Rom 128 256 Gb 8Gb 128Gb 256Gb Hp Android Smartphone",Rp1.930.000,Kota Jakarta Selatan,4% Off,Voucher save 4%,,,,
https://www.lazada.co.id/products/pdp-i8686578672.html,【Can Cod】Children's Educational Tablet F06 with Bag Packaging / Android Tablet for Children's Learning / Cheap Children's Aipet Tablet 7.1 Inch Touch Screen Wifi High Definition Screen Computer Tablet Learning Entertainment Office Tablet,Rp880.110,Kota Jakarta Utara,51% Off,Voucher save 51%,98 sold,(69),,
https://www.lazada.co.id/products/pdp-i7276662298.html,Smartphone Handphone HP Luna Elevate V55C RAM 3GB ROM 64GB Ada NFC Lengkap,Rp740.000,Kota Jakarta Barat,,,,,,
https://www.lazada.co.id/products/pdp-i7601318744.html,mesin hp vivo y91 m4ti jual gambling apa adanya,Rp120.000,Kab. Subang,,,11 sold,(7),,
https://www.lazada.co.id/products/pdp-i8363974781.html,LCD STAR RENO 5 4G/5G/RENO 6 4G/5G/REALME GT/GT MASTER 5G/GT NEO/GT NEO 2T/OPPO K9 5G/K9 PRO 5G/FIND X3 LITE 5G/NORD CE 5G/NORD 2 5G BLACK,Rp236.000,Kota Tangerang Selatan,,,16 sold,(4),,
https://www.lazada.co.id/products/pdp-i8169096197.html,xiomi redmi 8Apro ram 3/32 second,Rp750.000,Kab. Cirebon,,,,(2),,
https://www.lazada.co.id/products/pdp-i7557892955.html,tablet advan t1j plus p6129 mesin normal lcd tc pecah,Rp15.000,Kab. Bandung,,,,,,
https://www.lazada.co.id/products/pdp-i4292754197.html,Free shipping-headset macaron U19 extra bass/Wired earphone U19 color Macaron,Rp3.323,Kab. Tangerang,56% Off,Voucher save 56%,34.5K sold,(3078),,
https://www.lazada.co.id/products/pdp-i8727380331.html,CISCO IP PHONE 7961G NEW EX DISPLAY - Elvoir Store,Rp510.000,Kota Jakarta Barat,50% Off,Voucher save 50%,,,,
https://www.lazada.co.id/products/pdp-i6970044437.html,HTC DESIRE 826 - FULLSET - 4G LTE - 16GB,Rp1.385.211,Kota Jakarta Barat,54% Off,Voucher save 54%,,,,
https://www.lazada.co.id/products/pdp-i6667918163.html,mesin Xiaomi redmi 5a ram 3/32gb copotan original siap rakit normal no acound no pola ya bos Kus siap rakit joss sesuai video ya,Rp85.000,Kab. Tasikmalaya,69% Off,Voucher save 69%,,(1),,
https://www.lazada.co.id/products/pdp-i7334334345.html,mesin nokia 206 RM 872 normal lcd garis,Rp40.000,Kab. Cirebon,,,6 sold,(3),,
https://www.lazada.co.id/products/pdp-i7356652866.html,handphone ALDO T66/ maxtron p12 / p12 inormal second,Rp90.000,Kab. Cirebon,,,14 sold,(8),,
https://www.lazada.co.id/products/pdp-i8098752442.html,Hp Samsung Galxy A13 6/128 Gb & Samsung A12 Ram 6Gb Rom 128Gb - Free Sim Card,Rp1.280.000,Kota Jakarta Selatan,2% Off,Voucher save 2%,,,,
https://www.lazada.co.id/products/pdp-i7541896761.html,Lcd Infinix Smart 7 X6515 / Itel A40 / Tecno Spark Go 2023 / Spark 10C / Itel A60S / Itel P55 5g Fullset,Rp113.850,Kota Jakarta Selatan,62% Off,Voucher save 62%,2.5K sold,(946),,
https://www.lazada.co.id/products/pdp-i8411056690.html,Children's Tablet F06 Android Children's Educational Tablet 7.1 Inch Screen Tablet Pc 6Gb/128Gb Wifi 5g Dual Sim Standby Tablet Kids Learning Mobile Phone Office Tablet Game Tablet Low Price Tablet Official Guarantee Tablet Learning Machine,Rp889.000,Kota Jakarta Utara,50% Off,Voucher save 50%,34 sold,(25),,
https://www.lazada.co.id/products/pdp-i8250320772.html,【Can Cod】Children's Tablet Pc A15 Kids Tablet 10 Inch Ips Educational Computer 6800Mah Educational Games for Children 6Gb+128Gb Wifi-Hotspot Bluetooth Dual Sim Card Android 10 Children's Tablet,Rp880.110,Kota Jakarta Utara,51% Off,Voucher save 51%,411 sold,(215),,
https://www.lazada.co.id/products/pdp-i5921428852.html,"Tablet Android Murah, Tablet Android Advan, Tablet Dua SIM, Tablet, Tablet Game Bisa Cod, Tablet Advan second, tablet Advan murah second, tablet Advan, tablet android, tablet sken siap pakai, Tab dua SIM,",Rp300.000,Kab. Cirebon,14% Off,Voucher save 14%,406 sold,(109),,
https://www.lazada.co.id/products/pdp-i8071008283.html,New 7 Inch Global Version Wifi Kids Tablet Quad Core Dual Arc Camera Android Kids Gift Tablet,Rp680.000,Kota Jakarta Barat,24% Off,Voucher save 24%,41 sold,(13),,
https://www.lazada.co.id/products/pdp-i7966984367.html,nokia N73 RM 133 normal second ada casan,Rp170.000,Kab. Cirebon,,,,,,
https://www.lazada.co.id/products/pdp-i7986142896.html,"2025Tablet baru Android 8,0 inci 6 + 128GB WIFI 5G Dual Card Solt Google Play   tablet 8 inch android",Rp650.000,Kota Jakarta Barat,46% Off,Voucher save 46%,6 sold,(1),,
https://www.lazada.co.id/products/pdp-i6178962557.html,Maxtron P12 Bomba,Rp319.000,Kota Bekasi,,,321 sold,(102),,
https://www.lazada.co.id/products/pdp-i8199990616.html,LCD Realme 8i Original Full set COD hp Touchscreen Asli Ori Super,Rp139.500,Kota Jakarta Barat,69% Off,Voucher save 69%,95 sold,(32),,
https://www.lazada.co.id/products/pdp-i7965970080.html,nokia 101 RH 769 normal secondd,Rp33.215,Kab. Cirebon,5% Off,Voucher save 5%,110 sold,(42),,
https://www.lazada.co.id/products/pdp-i8090762050.html,Smartphone Y93 6/128 Garansi,Rp718.000,Kota Bekasi,,,,(2),,
https://www.lazada.co.id/products/pdp-i8650402260.html,Sale LCD Vivo Z1 pro original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp130.000,Kota Jakarta Barat,62% Off,Voucher save 62%,121 sold,(42),,
https://www.lazada.co.id/products/pdp-i8019396180.html,LCD Samsung A12 Original Free Gift Full set ori asli murah hp Touchscreen COD,Rp119.500,Kota Jakarta Barat,40% Off,Voucher save 40%,287 sold,(108),,
https://www.lazada.co.id/products/pdp-i8784220582.html,"Oppo a5i Pro 8/128GB [military-grade shock resistance, 6000mAh battery, 45W supervooc]",Rp1.940.000,Kota Jakarta Selatan,12% Off,Voucher save 12%,,,,
https://www.lazada.co.id/products/pdp-i7888486537.html,nokia 3100 RH 19 normal second siap pakai,Rp151.040,Kab. Cirebon,6% Off,Voucher save 6%,7 sold,,,
https://www.lazada.co.id/products/pdp-i7977968650.html,Sale LCD Oppo A1k original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp123.000,Kota Jakarta Barat,59% Off,Voucher save 59%,324 sold,(116),,
https://www.lazada.co.id/products/pdp-i7984626040.html,nokia 301 RM 839 normal secondd siap pakai,Rp180.000,Kab. Cirebon,,,,,,
https://www.lazada.co.id/products/pdp-i8648468777.html,Sale LCD Vivo y33s original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp128.000,Kota Jakarta Barat,54% Off,Voucher save 54%,42 sold,(11),,
https://www.lazada.co.id/products/pdp-i7898050137.html,nokia RM 1035 normal second siap pakai,Rp33.600,Kab. Cirebon,4% Off,Voucher save 4%,31 sold,(14),,
https://www.lazada.co.id/products/pdp-i8020636173.html,Sale LCD realme C2 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp122.500,Kota Jakarta Barat,39% Off,Voucher save 39%,917 sold,(316),,
https://www.lazada.co.id/products/pdp-i8643558977.html,Sale LCD Vivo Y19 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp123.500,Kota Jakarta Barat,61% Off,Voucher save 61%,44 sold,(16),,
https://www.lazada.co.id/products/pdp-i8118562123.html,Sale LCD Vivo V20 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp131.500,Kota Jakarta Barat,56% Off,Voucher save 56%,195 sold,(66),,
https://www.lazada.co.id/products/pdp-i8079942964.html,Sale LCD Samsung A20 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp122.500,Kota Jakarta Barat,51% Off,Voucher save 51%,287 sold,(132),,
https://www.lazada.co.id/products/pdp-i8037358712.html,MESIN HANDPHONE REDMI 6A BEKAS SECOND NORMAL TESTED,Rp120.000,Kab. Cirebon,11% Off,Voucher save 11%,12 sold,(6),,
https://www.lazada.co.id/products/pdp-i8666910674.html,"Poco C65 8 + 256GB smartphone 50MP smooth screen 6,74 90Hz large battery 5000mAh",Rp1.187.010,Kota Jakarta Barat,41% Off,Voucher save 41%,15 sold,(5),,
https://www.lazada.co.id/products/pdp-i8089602795.html,nokia 1600 rh 64 normal second,Rp100.000,Kab. Cirebon,,,47 sold,(11),,
https://www.lazada.co.id/products/pdp-i8381114701.html,SAMSUNG J2 PRIME JAR 4G LTE SECOND BEKAS PAKAI NO MINUS SIAP PAKAI NORMAL BERKUALITAS,Rp140.000,Kab. Cirebon,,,17 sold,(2),,
https://www.lazada.co.id/products/pdp-i8000828655.html,Sale LCD realme 5 Pro Core original HP smartphone Layar LCD anti blue light HD YY official warranty 12 months free shipping Murah cod,Rp123.000,Kota Jakarta Barat,49% Off,Voucher save 49%,370 sold,(156),,
https://www.lazada.co.id/products/pdp-i8079396542.html,Sale LCD realme C53 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp124.500,Kota Jakarta Barat,48% Off,Voucher save 48%,339 sold,(115),,
https://www.lazada.co.id/products/pdp-i6772486779.html,INFINIX SMART 7 4/64Gb & SMART 5 3/64 3/64 Garansi  - PROMO,Rp900.000,Kota Jakarta Selatan,10% Off,Voucher save 10%,15 sold,(1),,
https://www.lazada.co.id/products/pdp-i8352514122.html,Sale LCD Redmi A3 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp130.000,Kota Jakarta Barat,57% Off,Voucher save 57%,50 sold,(15),,
https://www.lazada.co.id/products/pdp-i8002092066.html,Sale LCD Vivo y15s original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp117.500,Kota Jakarta Barat,44% Off,Voucher save 44%,579 sold,(181),,
https://www.lazada.co.id/products/pdp-i8026862227.html,Sale LCD realme 5i original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp120.000,Kota Jakarta Barat,50% Off,Voucher save 50%,803 sold,(326),,
https://www.lazada.co.id/products/pdp-i8403104659.html,Sale LCD Redmi Note 10s original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp130.000,Kota Jakarta Barat,60% Off,Voucher save 60%,12 sold,(6),,
https://www.lazada.co.id/products/pdp-i8083360891.html,Sale LCD Vivo V15 HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp134.500,Kota Jakarta Barat,55% Off,Voucher save 55%,185 sold,(73),,
https://www.lazada.co.id/products/pdp-i8638972865.html,Sale LCD Samsung A12 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp119.500,Kota Jakarta Barat,48% Off,Voucher save 48%,54 sold,(23),,
https://www.lazada.co.id/products/pdp-i8017564981.html,Sale lcdopo A55 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp126.500,Kota Jakarta Barat,45% Off,Voucher save 45%,144 sold,(42),,
https://www.lazada.co.id/products/pdp-i8014386641.html,Sale LCD realme C20 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp118.000,Kota Jakarta Barat,46% Off,Voucher save 46%,273 sold,(108),,
https://www.lazada.co.id/products/pdp-i8036018906.html,Sale Oppo Reno 5 4G 5G original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp155.000,Kota Jakarta Barat,63% Off,Voucher save 63%,251 sold,(80),,
https://www.lazada.co.id/products/pdp-i7971886192.html,nokia 3220 RH 37 normal second siap pakaii,Rp120.000,Kab. Cirebon,,,6 sold,(1),,
https://www.lazada.co.id/products/pdp-i7755918999.html,FOR SALE !!! Smartphone Infinix Smart 6 Hd RAM 2 GB ROM 32 GB - Free Sim Card,Rp850.000,Kota Jakarta Selatan,6% Off,Voucher save 6%,,,,
https://www.lazada.co.id/products/pdp-i8101602781.html,Sale LCD Samsung A70 original HP smartphone LCD screen anti blue light HD YY official warranty 12 months free shipping cheap cod,Rp146.000,Kota Jakarta Barat,59% Off,Voucher save 59%,125 sold,(47),,
https://www.lazada.co.id/products/pdp-i8643894004.html,OPPO NEO 7 NORMAL MURAH,Rp98.000,Kab. Cirebon,,,,(1),,
https://www.lazada.co.id/products/pdp-i8823992487.html,"Used Oppo A12 Mobile Phone Machine, Tested Normal Materials 3/32",Rp220.000,Kab. Cirebon,12% Off,Voucher save 12%,,(1),,
https://www.lazada.co.id/products/pdp-i8785772857.html,Hp Vivo Y71 Ram 6/128Gb New 99% Fullset Warranty 1 Year Sealed,Rp499.999,Kota Jakarta Barat,26% Off,Voucher save 26%,38 sold,(19),,
https://www.lazada.co.id/products/pdp-i6777020912.html,HP A3S RAM 6/128 GB,Rp649.000,Kota Jakarta Barat,2% Off,Voucher save 2%,884 sold,(296),,
https://www.lazada.co.id/products/pdp-i8739000831.html,Smartphone Galaxy S25 Ultra Ram 8/256 Gb 1 Year Warranty Gress Sealed and New,Rp2.089.909,Kota Tasikmalaya,16% Off,Voucher save 16%,26 sold,(10),,
https://www.lazada.co.id/products/pdp-i8673656722.html,HP Y17 RAM 8GB / 256 GB,Rp889.000,Kota Jakarta Barat,1% Off,Voucher save 1%,252 sold,(69),,
https://www.lazada.co.id/products/pdp-i8770428245.html,Zte Nubia Blade A36 RAM 4/64 Garansi Resmi,Rp989.000,Kota Medan,,,,,,
https://www.lazada.co.id/products/pdp-i7188904873.html,"Tecno spark 40 Ram [6GB/128GB | 8GB/256GB] it can pay without credit card-cheap HP-official warranty (kredivo, Laz pay later, it can be used for cod, original)",Rp1.948.000,Kota Jakarta Pusat,7% Off,Voucher save 7%,12 sold,(5),,
https://www.lazada.co.id/products/pdp-i18828546382.html,Hp A31 Ram 6/128Gb 1 Year Guarantee,Rp789.000,Kota Jakarta Barat,28% Off,Voucher save 28%,,,,
https://www.lazada.co.id/products/pdp-i4718880121.html,Evercoss M6A (4/32) Official Warranty,Rp535.000,Kota Jakarta Selatan,,,462 sold,(140),,
https://www.lazada.co.id/products/pdp-i8141170685.html,HP A3S RAM 6 internal 128 GB,Rp649.000,Kota Jakarta Barat,2% Off,Voucher save 2%,709 sold,(207),,
https://www.lazada.co.id/products/pdp-i18816340786.html,Samsung Galaxy S26+ 12/512Gb - AI Phone | Photo Assist | 4900 mAh,Rp19.499.000,Kota Depok,13% Off,Voucher save 13%,,(2),,
https://www.lazada.co.id/products/pdp-i18826553145.html,Samsung Galaxy S25 Ultra 12/256GB Garansi Resmi Indonesia HP Handphone Terbaru Smartphone AI | Galaxy AI | Android,Rp12.899.400,Kota Surabaya,40% Off,Voucher save 40%,,,,
https://www.lazada.co.id/products/pdp-i8739004701.html,Galaxy A56 5G smartphone Ram 8/256 GB 1 year warranty Gress seal and new,Rp2.089.909,Kota Tasikmalaya,20% Off,Voucher save 20%,65 sold,(14),,
https://www.lazada.co.id/products/pdp-i8311992633.html,realme C75 8GB+16GB*|256 GB | IP66/68/69 Dust & Water Resistance| Military Grade Shock Resistance | 6000mAh Massive Battery,Rp2.798.000,Kota Depok,,,141 sold,(65),,
https://www.lazada.co.id/products/pdp-i18823067886.html,Tecno Spark Go 3 Ram 8/128Gb 5000Mah Battery Original Official Guarantee!! !,Rp1.190.000,Kab. Sukabumi,26% Off,Voucher save 26%,,(1),,
https://www.lazada.co.id/products/pdp-i8312094371.html,realme C75 8GB+16GB*|128 GB | IP66/68/69 Dust & Water Resistance| Military Grade Shock Resistance | 6000mAh Massive Batery,Rp2.398.000,Kota Depok,,,332 sold,(169),,
https://www.lazada.co.id/products/pdp-i8619360459.html,HP VIVO Y33S 8/256 secondhand 99% GB BERGARANSI 12 BULAN DAN TERPERCAYAAA!!!,Rp850.000,Kota Jakarta Barat,15% Off,Voucher save 15%,12 sold,(0),,
https://www.lazada.co.id/products/pdp-i8692686412.html,Infinix Hot 60 Pro+ 8/256GB - Up to 16GB Extended RAM - Helio G200 - 6.78 inch 1.5k AMOLED - 50MP - 5160 mAh - NFC,Rp2.779.000,Kota Depok,4% Off,Voucher save 4%,1.5K sold,(559),,
https://www.lazada.co.id/products/pdp-i8393222214.html,Xiaomi Poco M6 (8GB + 256GB) | pro-grade 108 MP main camera | tough Helio G91-Ultra | 33 W turbo charging,Rp1.689.000,Kota Jakarta Barat,11% Off,Voucher save 11%,88 sold,(37),,
https://www.lazada.co.id/products/pdp-i8775350500.html,Realme C85 6Gb+128Gb |   7000Mah Battery |   50m Ai Camera | |   Ip69 Waterproof |   50Mp Ai Camera,Rp2.599.000,Kab. Tangerang,26% Off,Voucher save 26%,58 sold,(26),,
https://www.lazada.co.id/products/pdp-i7737496138.html,Realmi 10,Rp1.200.000,Kota Tangerang Selatan,,,,(1),,
https://www.lazada.co.id/products/pdp-i7367106304.html,Vivo Y16 RAM 4\64 Nominus masih mulus fullshet second rasa baru garansi resmi indonesia,Rp1.000.000,Kab. Bogor,23% Off,Voucher save 23%,18 sold,(6),,
https://www.lazada.co.id/products/pdp-i18826549569.html,Samsung Galaxy S25 12/512GB - Smartphone AI | Galaxy AI | Android,Rp10.199.400,Kota Surabaya,40% Off,Voucher save 40%,,,,
https://www.lazada.co.id/products/pdp-i8259362541.html,TECNO SPARK GO 1 RAM 4/128GB GARANSI RESMI,Rp1.175.000,Kota Palembang,,,,,,
https://www.lazada.co.id/products/pdp-i8775242010.html,Chic mension HP Y71 6 + 128GB 4G LTE HP cheap smartphone fullset 12 months warranty,Rp469.000,Kota Jakarta Barat,22% Off,Voucher save 22%,81 sold,(26),,
https://www.lazada.co.id/products/pdp-i8202100003.html,"Oppo Reno12 F 5g 12Gb+256Gb/512Gb [Ai Potrait Expert, All-Round Armor, Dimensity 6300, 45W Supervooc 5000Mah]",Rp3.899.000,Kota Tangerang,26% Off,Voucher save 26%,302 sold,(106),,
https://www.lazada.co.id/products/pdp-i18826026482.html,Samsung Galaxy Z Fold7 12/256GB & 12/512GB Snapdragon 8 Elite for Galaxy | Smartphone AI | 200MP | Garansi Resmi SEIN 1 Tahun,Rp14.494.200,Kota Surabaya,40% Off,Voucher save 40%,,,,
https://www.lazada.co.id/products/pdp-i8643076544.html,realme C71 4GB+128GB* | NFC | 6300mAh Massive Battery & 45W Fast Charge | 120Hz Eye Comfort Display | AI Experience,Rp1.999.000,Kab. Tangerang,5% Off,Voucher save 5%,1.6K sold,(645),,
https://www.lazada.co.id/products/pdp-i8625846053.html,SMARTPHONE NEW  A3S 6/128 GB Fullset Termurah Bergaransi 12 Bulan,Rp599.890,Kab. Bogor,33% Off,Voucher save 33%,,(1),,
https://www.lazada.co.id/products/pdp-i8727756086.html,Infinix Smart 10 4/64GB | 4/128GB original authorized warranty,Rp1.099.000,Kab. Tangerang,,,5 sold,,,
https://www.lazada.co.id/products/pdp-i8009350178.html,Vivo Y20S 8/256Gb 5000 Mah 6.51 Inches 1 Year Warranty Cheapest Smartphone,Rp1.068.000,Kab. Tangerang,47% Off,Voucher save 47%,878 sold,(437),,
https://www.lazada.co.id/products/pdp-i7870166102.html,Nubia Redmagic 11 Pro 16/512Gb Official Guarantee Snapdragon 8 Elite Gen 5 Red Magic Gaming Phone Not Asus Rog 8 9,Rp18.404.000,Kota Jakarta Pusat,23% Off,Voucher save 23%,,,,
https://www.lazada.co.id/products/pdp-i8640612650.html,SMARTPHONE A31 RAM 6/128 GB GARANSI 1 TAHUN GRESS SSEGEL DAN BARU,Rp979.909,Kota Tasikmalaya,11% Off,Voucher save 11%,6 sold,(3),,
https://www.lazada.co.id/products/pdp-i8203476961.html,Hp A5S Ram 8 Internal 256 Gb,Rp779.000,Kota Jakarta Barat,3% Off,Voucher save 3%,232 sold,(81),,
https://www.lazada.co.id/products/pdp-i8375388163.html,"Xiaomi Poco C75 [8+256Gb / 6+128Gb] - Guaranteed Ram up to - 16Gb with Expansion Feature, Nfc, 5,160Mah Battery, 6.88 Inch Screen, 50Mp Ai - Can Be Paid in Installments Without a Credit Card - Cheap Cellphone (Kredivo, Laz Pay Later, Cod Available, Ovo, O",Rp1.369.000,Kota Jakarta Barat,7% Off,Voucher save 7%,13 sold,(4),,
https://www.lazada.co.id/products/pdp-i6798070091.html,Xiaomi Note 2 - RAM 2GB / ROM 32GB - Garansi 1Tahun - segel/murah/garansi/4glte,Rp359.008,Kab. Bogor,28% Off,Voucher save 28%,,(1),,
https://www.lazada.co.id/products/pdp-i8657296097.html,HP A31 RAM 8/256 GB 4G LTE BERGARANSI,Rp929.000,Kota Jakarta Barat,7% Off,Voucher save 7%,90 sold,(28),,
https://www.lazada.co.id/products/pdp-i8829506431.html,[NEW! ONLINE EXCLUSIVE] OPPO A6t 4/64GB | 4/128GB | 6/128GB - Snapdragon 685 - 120Hz Fast Responsive Screen - 6500mAh Battery - 48-Month Fluency Protection,Rp1.829.000,Kota Depok,9% Off,Voucher save 9%,,,,
https://www.lazada.co.id/products/pdp-i7285726668.html,Infinix Hot 60i NFC 16 + 256 GB Helio G81 Ultimate (gaming Boster) replacement Hot 50 official warranty 1 year,Rp1.245.000,Kab. Bogor,4% Off,Voucher save 4%,2.1K sold,(1117),,
https://www.lazada.co.id/products/pdp-i1623956971.html,"Tecno Spark 30C [6/128Gb] / Spark 20C - Nfc - Can Be Paid in Installments Without a Credit Card (Tecno Official Store, Official Guarantee, Registered Imei)",Rp1.698.000,Kota Jakarta Pusat,6% Off,Voucher save 6%,133 sold,(71),,
https://www.lazada.co.id/products/pdp-i8117318751.html,Samsung Galaxy A04e 3/32gb - MediaTek Helio P35,Rp1.039.500,Kota Jakarta Selatan,17% Off,Voucher save 17%,,,,
https://www.lazada.co.id/products/pdp-i8763946640.html,Infinix Smart 9 4/128Gb - up to 8Gb Extended Ram - 6.7 Inch 120Hz Punch Hole Display - Helio G81 - 5000 Mah,Rp1.135.000,Kota Jakarta Barat,,,,(3),,
https://www.lazada.co.id/products/pdp-i7743598092.html,Infinix Hot 30i Ram 8/128 masih mulus ori kumplit,Rp1.328.400,Kab. Bogor,2% Off,Voucher save 2%,31 sold,(8),,
https://www.lazada.co.id/products/pdp-i8713760467.html,Infinix Hot 50i with charger Ram 6/128,Rp1.500.000,Kota Jakarta Barat,6% Off,Voucher save 6%,,(2),,
https://www.lazada.co.id/products/pdp-i8670862280.html,Xiaomi Redmi A5 Ram 4GB Rom 128GB,Rp1.250.000,Kota Surabaya,22% Off,Voucher save 22%,,(2),,
https://www.lazada.co.id/products/pdp-i8721662056.html,"Vivo Y19S Pro 6/128Gb - Rugged, Rainproof Ip64",Rp1.523.600,Kota Jakarta Selatan,10% Off,Voucher save 10%,23 sold,(11),,
