channel,username,text,tanggal,panjang_komentar,sentiment
Jagat Review,@RDWNSahabat-Quran,bahas samsung galaxy seri m gak kalah mantap gw user m dh tahun lebih sangat puas dri segi ketahanankecemplung kebanting kelempar keinjekjatuh di jalan hari bru ketemu buat game ringan kualitas kamera batteray ui dll,2026-02-26 01:00:12+00:00,216,positif
Jagat Review,@rarabatara,redmi note g ultrawide termurah dengan chipset g,2026-02-22 02:54:42+00:00,48,netral
Jagat Review,@RallyFury-i5k5p,nah kalo dari segi kamera saja foto video lebih menang samsung a apa a ya secara di range yang mirip,2026-02-21 17:13:30+00:00,100,netral
Jagat Review,@KatalisOpsianal,lah hp gw lemot tapi panas gimana tuh waktunya ganti kali ya udah th pake redmi note s,2026-02-20 20:51:25+00:00,86,negatif
Jagat Review,@mandra213,kira moto g power bisa masuk ga ya atau emg ga terpilih aja wkwk,2026-02-17 02:28:54+00:00,64,netral
Jagat Review,@zall1150,a href realme fitri,2026-02-16 01:09:48+00:00,19,netral
Jagat Review,@alwafaathea,di masa depan mending lebih pentingin buat kembangin pendingin mesin dah supaya makin berkembang untuk hp kenceng tapi makin adem,2026-02-14 08:35:46+00:00,129,netral
Jagat Review,@God.SP3ed,om ded om chris dan warga jr semua info dong dari hp yg disebutkan disini ada nggak yg kl dicolok otg langsung auto on tanpa harus pergi ke setting sy perlu bgt fitur ini,2026-02-10 00:57:53+00:00,170,netral
Jagat Review,@elvanwijaya3501,a href poco kah,2026-02-09 17:03:43+00:00,15,netral
Jagat Review,@SuperRossonere,iqoo z pake layar p oled atau amoled sih,2026-02-07 16:43:22+00:00,40,netral
Jagat Review,@tyobuki5773,infinix gt pro klo buat non gaming rekomended ga sih,2026-02-07 06:06:13+00:00,52,netral
Jagat Review,@wbsadryan,bang untuk kaum mendang mending kami cari yang triple slot jadi bisa dua sim plus satu sdcard,2026-02-06 10:12:50+00:00,93,netral
Jagat Review,@Zean19444,budget jt sekarang moto g power bagus gak bang,2026-02-04 00:20:10+00:00,46,positif
Jagat Review,@aldianbisma,,2026-01-31 02:19:50+00:00,0,netral
Jagat Review,@Ramaziwan,jadi better z or zr guys,2026-01-28 14:32:59+00:00,24,netral
Jagat Review,@Svarna_07,kalo butuh batere badak pilih z kalo butuh all rounder pilih zr dan harga lebih murah dikit dibanding z kalo ngga suka layar lengkungcurved pilih zr z layarnya lengkung soalnya z speaker mono zr speaker stereo semoga membantu,2026-01-30 00:45:01+00:00,225,positif
Jagat Review,@rarabatara,dear tim jr mau request untuk video rekomendasi selanjutnya bolehkah sebelum kan menjelang lebaran terima kasih dan semangat,2026-01-24 18:01:34+00:00,124,netral
Jagat Review,@rapjoestar,bingung antara z dan z,2026-01-21 16:32:34+00:00,22,netral
Jagat Review,@iwantotets,motorola mana om kog gk masuk sihhh,2026-01-21 04:01:44+00:00,35,netral
Jagat Review,@evefffff13,a href pajak ui jir,2026-01-19 18:21:51+00:00,19,netral
Jagat Review,@GioJi-m8u,samsung a mash wort it gk ya di beli di tahun ini harganya udh mayan turun,2026-01-19 15:54:50+00:00,74,netral
Jagat Review,@achmadaryriwayanto,masih,2026-01-29 04:24:31+00:00,5,netral
Jagat Review,@mbakwindaofficial,sudah kliling lihat rekomendasi jt mantap motorola edge fusion,2026-01-19 13:23:54+00:00,62,positif
Jagat Review,@kentoeng0887,untuk gaming mending mana di jutaan,2026-01-16 06:50:08+00:00,35,netral
Jagat Review,@Svarna_07,udah pasti infinix gt pro kalo mau yg versi lebih murahnya ya infinix gt,2026-01-30 00:47:50+00:00,72,netral
Jagat Review,@rbnarby1381,a href wih hp dengan charging watt ini yg aku butuhkan,2026-01-13 02:43:52+00:00,54,netral
Jagat Review,@kennethashira2094,redmi note series kenapa ngga masuk ya,2026-01-10 14:21:08+00:00,38,netral
Jagat Review,@arinjas,gw bingung jadinya brmending pova curve g atau gt g,2026-01-05 04:16:33+00:00,51,netral
Jagat Review,@Sandi19.,gt,2026-01-13 14:02:15+00:00,2,netral
Jagat Review,@arinjas,ada isu katanya,2026-01-14 01:52:09+00:00,15,netral
Jagat Review,@brianfarelyufidatama4023,gt g saya pernah pake keduanya,2026-01-16 13:48:22+00:00,30,netral
Jagat Review,@erwinofficial2168,sekarang harga poco f udh turun jt an snapdragon gen gb,2026-01-04 15:16:16+00:00,55,netral
Jagat Review,@adyatmaputra6563,jujur emang top harga lbh dikit,2026-01-04 06:34:04+00:00,31,positif
Jagat Review,@masbrekele-gq3fd,dapet p jt di toko ornge gara banyak revw yg blg p beda ram malah gb katanya ram mau naik jadi gas aja,2026-01-03 02:30:54+00:00,102,netral
Jagat Review,@ebyvebryan6558,kenapa ga dcantumin ufs masingmasing hp,2026-01-02 04:49:48+00:00,39,netral
Jagat Review,@Bhaskoro_1999,moto g juga udh turun jtan,2026-01-01 17:55:54+00:00,26,netral
Jagat Review,@khairul.amiruddin,hehe dapet a di jt nice lah,2026-01-01 15:26:23+00:00,27,netral
Jagat Review,@dimasabdull2888,beli dimana,2026-02-16 08:14:18+00:00,11,netral
Jagat Review,@khairul.amiruddin,tokped dapet promo waktu itu,2026-02-16 08:47:26+00:00,28,netral
Jagat Review,@NabilPutra-g8b,gw udah beberapa toko hprealme g udah pada kosong,2026-01-01 08:38:46+00:00,49,netral
Jagat Review,@anomaswianto376,gokil ini redmi ga masuk sama sekali yak dari keluarga xiaomi hanya poco yg masup,2026-01-01 08:19:13+00:00,81,netral
Jagat Review,@Faizzetttt,a href aku udah co di oren tecno camon pro dan gua syok minus ini berefek si ke aku yang clipper,2025-12-31 18:30:02+00:00,96,negatif
Jagat Review,@entitypro7671,yang gt pro secondnya di daerah saya jt yang gb,2025-12-31 17:50:08+00:00,47,netral
Jagat Review,@FirRoxxErox,poco f ip rating nya bukannya ip ko di vt ip,2025-12-31 15:30:04+00:00,44,netral
Jagat Review,@hehehehehe187,motorola g power atau infinix gt gbrbuat all rounder enak mana,2025-12-31 12:01:49+00:00,62,netral
Jagat Review,@brianfarelyufidatama4023,g power batt awet lebih dingin micro sd kamera lebih bagus tapi haptic sama sound speaker bagus gt g,2026-01-16 13:49:05+00:00,100,positif
Jagat Review,@newishaalifa2802,galau banget antara iqoo zr sama realme pbrbrrealme ada iklannya ya,2025-12-30 14:20:47+00:00,67,netral
Jagat Review,@sabianhasan3077,xiao yg turun,2025-12-29 10:22:11+00:00,13,netral
Jagat Review,@Tuanmiii,udh ambil z di hrga jtaan kecil di bln laluperlu di prhatikan dia udh alway on display sepanjang harichipset mntepadembatrenya awetpngecasan cepatlayar super okespeaker streo bgus di kelasnya dri pda si zrbonus kamera k fps yg lumayan stabil,2025-12-28 14:22:25+00:00,241,netral
Jagat Review,@mlzbgt6696,z yg sd gen,2026-02-27 08:00:11+00:00,11,netral
Jagat Review,@mcggcupu,biasa yg kek gini poco eh kanjut,2025-12-28 08:25:27+00:00,32,netral
Jagat Review,@AlvDevZ10R,iqoo zr,2025-12-27 11:01:14+00:00,7,netral
Jagat Review,@sandifandwianggananputra5645,semoga kebeli amin,2025-12-26 18:25:36+00:00,18,netral
Jagat Review,@RainheartWS,kalo poco x pro masih ok kah masih masuk range harga dan ready jg di official store shopee tapi gak masuk bahkan di honorable mention awam banget jadi beneran nanya liat socnya lebih bagus dikit dibanding f,2025-12-26 00:58:15+00:00,206,positif
Jagat Review,@schrodingerscat7952,x pro bukannya dah dibahas di menit nonton sambil merem kah bang,2025-12-27 13:12:01+00:00,64,netral
Jagat Review,@YuyuLisuf,lah udah ubanan aja terahir liat ini chanel th,2025-12-26 00:39:02+00:00,46,netral
Jagat Review,@FaPlayy,motorola g power kurangkah,2025-12-25 19:12:58+00:00,26,netral
Jagat Review,@ErwinsrimErwinsrim-dl1si,tecno pova pro ga ada yak,2025-12-25 10:50:32+00:00,25,netral
Jagat Review,@yasminyasmin9042,sebenarnya banyak orang berduit sanggup beli hp dengan harga di atas juta rupiah tapi orang biasa seperti saya pakai hp cuma untuk buka you tube fb wa hp dengan harga sekitar juta udah cukup lumayan,2025-12-25 09:45:01+00:00,198,netral
Jagat Review,@Ramaido_0,binggung tecno camo yang pro apa yang biasa yang udah beli boleh dong review nya,2025-12-25 06:38:18+00:00,80,netral
Jagat Review,@blckct0013,sesuain kebutuhan suh bang,2026-01-18 05:26:16+00:00,26,netral
Jagat Review,@blckct0013,hp pro series biasanya targetnya buat yang mau spek diatas series biasa kebutuhan sih sm budget,2026-01-18 05:27:00+00:00,95,netral
Jagat Review,@luckysuryana9443,nonton mantau pake x pro realme pro plus,2025-12-24 15:35:51+00:00,40,netral
Jagat Review,@yusticiano,waduh motorola fusion dan pro ngga masuk yakbreh bukannya saya punya cuma karena ram mau selangit taun depan beneran bimbang mau pilih mana termasuk motorola fusion atau gt pro atau yg note s bagusan mana yakbrjadi mulai ragu ke arah motorola kalau ngga masuk rekomendasi,2025-12-23 19:15:34+00:00,271,positif
Jagat Review,@BL056,bang klo beli hp mending yg mana ya ram atau,2025-12-23 18:55:17+00:00,44,netral
Jagat Review,@master0499,klo punya duit juta mending camon pro g atau poco x pro,2025-12-23 08:56:59+00:00,55,netral
Jagat Review,@hahahhihihi6447,perlu spek ambil x pro perlu kamera ambil camon pro,2025-12-25 11:47:44+00:00,51,netral
Jagat Review,@androanimalz7377,versus in bang morola edge fusion vs tecno camon pro gbrharganya udah hampir sama soalnya,2025-12-22 07:29:08+00:00,89,netral
Jagat Review,@feriperotd10,poco x pro juni kemaren dapet harga di naek kah gelokkkk,2025-12-22 04:20:38+00:00,56,netral
Jagat Review,@ibrohimabdullah2447,ini motorola edge fusion kok ga masuk,2025-12-21 12:17:01+00:00,37,netral
Jagat Review,@master0499,next recomend tablet,2025-12-20 14:46:05+00:00,20,netral
Jagat Review,@SamsungAkosong7-s8k7i,jutaan sih realme p sih gw,2025-12-20 14:19:36+00:00,26,netral
Jagat Review,@calonprogrammer4822,nonton pakai poco f,2025-12-19 11:11:17+00:00,19,netral
Jagat Review,@schrodingerscat7952,reviewnya dong bang pemakaian berapa lama dan gimana performa game sama baterai nya juga,2025-12-27 13:14:26+00:00,88,netral
Jagat Review,@WawanTjk,aku tinggal di samarinda jaringan g itu gk merata selain itu speed internetnya sangat rendah malahan jauh lebih tinggi speed internet g aku menggunakan software speedtest by ookla n device infinix gt pro kelihatan banget angkanya jomplang,2025-12-19 08:45:07+00:00,238,netral
Jagat Review,@pamujiaza870,ini semua nggak ada audio jack y,2025-12-19 03:33:04+00:00,32,netral
Jagat Review,@sadbatman5,g ada,2025-12-20 03:46:40+00:00,5,netral
Jagat Review,@pamujiaza870,,2025-12-20 05:04:09+00:00,0,netral
Jagat Review,@Aelfthryth666,ngeringeri produknya diharga segini,2025-12-19 02:32:37+00:00,35,netral
Jagat Review,@santos6678,samsung a langsung naik jauh harganya setelah berita krisis ram untung sempat beli pas under jt,2025-12-18 06:44:17+00:00,95,netral
Jagat Review,@Ariz92-n8v,dpet harga ram worth it g ya,2025-12-18 12:42:42+00:00,28,positif
Jagat Review,@santos6678,nvworth it lah kalo bisa dapat diharga segitu sekarang malah varian ada di harga padahal sebelumnya,2025-12-18 13:34:17+00:00,99,positif
Jagat Review,@Ariz92-n8v,tibatiba naik drastis ya,2025-12-18 16:22:54+00:00,24,netral
Jagat Review,@KIDS-PLAYANDLEARN,om chris itu rambut kok dibedakkin sih,2025-12-18 06:26:34+00:00,38,netral
Jagat Review,@budisetiawan5371,semakin liat bg dedy ini apakah masih ada hubungan saudara atau apa ya dengan bg hendra ngaji roso apakah kalian merasakan demikian ada masukan,2025-12-17 06:25:38+00:00,143,positif
Jagat Review,@playcold84,poco x pro atau samsung a,2025-12-17 04:43:39+00:00,25,netral
Jagat Review,@SerafDers,samsung a udah matang osnya kalau mau poco mending poco f daripada x pro,2025-12-17 13:03:14+00:00,72,netral
Jagat Review,@Animakoee,tau ngga kaliantahun ini adalah tahun untuk brand brand mengeluarkan hp terbaik mulai dari midrange sampai flagshipbrtaon depan harga hp udah mahal,2025-12-17 03:33:28+00:00,147,negatif
Jagat Review,@vikkydarul,nonton ini masih pakai vivo z probrtolong rekomendasi kan hp apa yg upgrade dari type tsb,2025-12-16 07:23:19+00:00,89,netral
Jagat Review,@treybrut,kalo buat gaming apa ya kasih rekomen bang pleasee orang baik,2025-12-14 15:35:06+00:00,61,netral
Jagat Review,@karltzy7888,z iqoo,2025-12-15 01:49:54+00:00,6,netral
Jagat Review,@Akagami478-ry1ig,realme p g harga dan spek kek poco x g,2025-12-17 05:05:34+00:00,38,netral
Jagat Review,@dedisupriadi6097,tolong masukannya mending realme p g atau poco x g nih biar ga ragu beli,2025-12-14 12:56:50+00:00,72,positif
Jagat Review,@davidcandra582,gw dapat a harga juta pas tokped,2025-12-14 06:49:56+00:00,32,netral
Jagat Review,@nurashari3249,saya dapat zr,2025-12-13 14:48:50+00:00,13,netral
Jagat Review,@AriefWicson,moto g power ga masuk ya,2025-12-13 14:34:43+00:00,24,netral
Jagat Review,@feriajaferiaja1713,pinter banget bang ngambil harga yang mayoritas orang indo cari,2025-12-13 02:43:26+00:00,63,netral
Jagat Review,@RaditFruztec,intinya klu hp juta allrounder cuma tecno camon prono debat lagi,2025-12-12 14:45:03+00:00,64,netral
Jagat Review,@RAFLI-tp3og,kalau sama iqoo z gmna mas,2025-12-15 18:29:27+00:00,26,netral
Jagat Review,@ScorpiooBoyyy-m2b,tpognyari batre iqoo,2025-12-26 14:07:03+00:00,20,netral
Jagat Review,@bocahkecil7911,motorola g sama honor xc ngga masuk,2025-12-12 13:58:26+00:00,35,netral
Jagat Review,@hujann-z9c,mau nanya terkait iqoobrkalo iqoo z g itu penerus iqoo zxbrlantas penerus iqoo z g apa ya,2025-12-12 11:40:41+00:00,89,netral
Jagat Review,@kenzi8785,gue dapat harga awal launching brkalo dibilang boros gue setuju bro emg agak boros untuk baterai mah,2025-12-12 08:42:59+00:00,100,netral
Jagat Review,@XIAOTECH234,merek hp apa bg,2025-12-18 23:58:34+00:00,15,netral
Jagat Review,@kenzi8785,x pro,2025-12-20 10:32:51+00:00,5,netral
Jagat Review,@sonyess,redmi note pro bagus gak ya mau beliin saudara,2025-12-12 04:00:28+00:00,46,positif
Jagat Review,@RaditFruztec,selain dri samsung lebih baik transion,2025-12-12 14:37:20+00:00,38,netral
Jagat Review,@hobbynontonunlimited9618,apa benar poco x pro seburuk itu,2025-12-12 03:17:57+00:00,32,negatif
Jagat Review,@user-dm7zx6zu2r,buruk gmana bagus kok kalo buruk ya ga mungkin dibahas n laris dmana ga cuma di indonesia,2025-12-12 03:20:12+00:00,89,netral
Jagat Review,@hobbynontonunlimited9618,dmzxzuryah ini review mereka begitu braku juga kurang setujubrpadahal paling op diantara juta yg di bahas di atas,2025-12-12 03:32:34+00:00,113,netral
Jagat Review,@junaidirajaguguk4883,rekomendasi tablet om,2025-12-11 14:26:00+00:00,21,netral
Jagat Review,@jejakmaknamedia,mas irwan setelah muncul realme c pro gimana peringkat tertinggi kah di harga juta brdan iqoo z kamera nya ok nggak,2025-12-11 08:59:43+00:00,115,netral
Jagat Review,@rhodienite4897,serius nanya buat iqoo apakah otgnya masih harus aktivasi manual atau suka disconnect sendiri saya pakai oppo gak enak otg seperti itu,2025-12-11 05:30:02+00:00,134,positif
Jagat Review,@AuliauUrrahman,g,2025-12-10 15:45:36+00:00,1,netral
Jagat Review,@cheese-bananaman,moto g power sm moto edge fusion ngga masuk nominasi kahbrtolong kl ada usernya boleh dong kasi review kekurangan kelebihan selama pemakaian,2025-12-10 05:35:11+00:00,140,netral
Jagat Review,@Dbgrvlog,vivo v lite spec ga masuk ya apa emang ga worth it,2025-12-10 04:46:18+00:00,50,positif
Jagat Review,@clarafeyrina,kalau liat dikomenan dan udah cek juga mending iqoo zr kak dibanding vivo v lite harga iqoo zr lebih murah tapi spek nya sama dengan vivo v lite,2025-12-10 06:54:09+00:00,144,netral
Jagat Review,@Ai_sound1,infinix note s g gak masuk om,2025-12-10 01:08:29+00:00,29,netral
Jagat Review,@rrqalberttt2549,gak nyangka hp f keluaran pertengahan tahun masih jadi rekomendasi di desember bangga beli f,2025-12-09 14:42:20+00:00,92,netral
Jagat Review,@rianadisaputra9987,iqoogt,2025-12-09 14:37:01+00:00,6,netral
Jagat Review,@rogerge1076,infinix gtpro dan poco xprog kalo dri segi storage beda rb doang njir jadi pusing,2025-12-09 14:17:27+00:00,81,netral
Jagat Review,@RHanif-l1l,versi baterai badakbrbr motorola g powerbr redmi amp poco m plusbr iqoo z litebr realme cbr motorola g powerbr iqoo zbr iqoo neo br realme gt br iqoo brbrtetap juara keluarga vivoiqoo,2025-12-09 14:00:22+00:00,183,netral
Jagat Review,@faisallatip97,infinik note pro,2025-12-09 13:26:13+00:00,16,netral
Jagat Review,@ariehyde5599,edge fusion the best,2025-12-09 12:49:12+00:00,20,netral
Jagat Review,@anggungbimo5287,ini entah gw nyettingnya pas atau gimana gak tau tapi infonya poco x pro gw sekalipun gak pernah ada iklan mau buka tema ganti wallpaper lewat tema gak pernah keluar mungkin gw hoki wtau gimana tapi bener gak pernah ada iklan notif pun gak ada,2025-12-09 12:27:55+00:00,243,netral
Jagat Review,@hayyyuukk,boleh dikasih tau cara nyetting biar gk ada iklannya gimana tuh bg,2025-12-10 11:34:24+00:00,66,netral
Jagat Review,@anggungbimo5287,youtube banyak bang intinya kaya notif apk potensi iklan dimatiin trus di setting ada buat personalisasi iklan,2025-12-10 12:47:08+00:00,110,netral
Jagat Review,@hei8312,nanya ni ada ga others files yang ga tahu itu apa di hp ini biasanya kan hp sekeluarga xiaomi ada,2026-01-26 09:22:17+00:00,97,netral
Jagat Review,@rakhmatluqman,nah kan akhirnya di video rekomendasi juta jagat klarifikasi kalo mereka gak tau harganya edge fusion udah turun dibawah juta,2025-12-09 11:34:53+00:00,125,netral
Jagat Review,@vikingwar1180,masih pake infinic gt pro varian gb,2025-12-09 08:47:29+00:00,35,netral
Jagat Review,@agisimandio8559,buat daily use om,2025-12-11 06:52:13+00:00,17,netral
Jagat Review,@vaxev,nonton rekomendasi hp akhir tahunnya jagat bukan karena mau cari hp tapi karena demen dengerin gosip insider,2025-12-09 08:30:04+00:00,108,netral
Jagat Review,@renkosamareal,a href layar amoled burn in ini udh pernah ada yg bahas scr detail blm ya penyebab kecenderungan dari brand paling terkenal dlm masalah ini mungkin ngeracik hp nya bisa jadi penyebab knp bisa sering burn in ketimbang brand lain dsb,2025-12-09 05:55:20+00:00,231,netral
Jagat Review,@aerialsky871,pengaruh panas dr komponen internal soc baterai atau dari luar sinar matahari cmiiw,2026-02-28 21:05:18+00:00,83,netral
Jagat Review,@SOM30N3-fm8zk,bang bisa minta tolongsaya asli sumut yang kuliah di malang sekarang hp saya lagi rusakekonomi lagi turunbisa tolong saya bang brini saya pake laptoptolong banng,2025-12-09 04:29:33+00:00,161,positif
Jagat Review,@ErickPaleon,harga yg dicantumkan itu online atau offline,2025-12-09 03:19:50+00:00,44,netral
Jagat Review,@achzayady6339,bg tolong bahas kamera tecno camon pro g vs poco x pro,2025-12-09 00:47:56+00:00,54,netral
Jagat Review,@eiresby2344,kalah si poco bahkan x pro kalah sama x pro,2025-12-27 07:06:13+00:00,43,netral
Jagat Review,@benyanyaan-uy8bh,kalau mau beli hape atau laptop worth it kl lihat review jagat review sangat worth it banget,2025-12-08 22:07:43+00:00,92,positif
Jagat Review,@komedifans1122,redmi kenapa kog ndak ada yg masuk bang,2025-12-08 15:00:50+00:00,39,netral
Jagat Review,@fadhilfahrezi8518,rivieww samsung a lagi dongg,2025-12-08 13:59:22+00:00,28,netral
Jagat Review,@elninosport91,kalo gua berharap iqqo r nanti ada penerusnyajgn kaya vivo yg dulu ada yg harga jutaan kenceng mantep tapi gk ada penerusnya gitu aja si,2025-12-08 11:58:31+00:00,136,netral
Jagat Review,@elysium1_0,yg jt bg,2025-12-08 07:59:25+00:00,8,netral
Jagat Review,@pennyjaxon2347,next bg gw lagi nyari,2025-12-08 07:28:21+00:00,21,netral
Jagat Review,@josseandreaputra7465,buruu yang jt keatas bg wkwkbrkeburu nih wkwkwk,2025-12-08 00:12:45+00:00,47,netral
Jagat Review,@fachryahmad5907,kenapa pake inisial ini itu tetanggan kaya david dong langsung sebut aja brend nya,2025-12-07 23:00:42+00:00,82,netral
Jagat Review,@muthiyyatulbaroroh832,compare dong oppo reno f g gb dengan lainnya mending pilih yg merk mana yak bantuin dong,2025-12-07 19:57:22+00:00,88,netral
Jagat Review,@iboyhendrasaputra,rekomen moto edge fusionbrnunggu aja promo sya cek harga turun jdi klo bsa turun lagi,2025-12-08 16:19:39+00:00,85,netral
Jagat Review,@muthiyyatulbaroroh832,motorola apa namanya,2025-12-08 16:56:12+00:00,20,netral
Jagat Review,@iboyhendrasaputra,indonesia,2025-12-08 17:06:01+00:00,9,netral
Jagat Review,@REKAB1988,motorola edge fusion harganya di toko online resminya bang,2025-12-07 15:36:50+00:00,58,netral
Jagat Review,@ff_girl354,ioo bener bener banyak rekomendasi di harga jt wkwkwkbrbravo iqoo,2025-12-07 10:57:13+00:00,65,netral
Jagat Review,@noverdiaska,mendingan beli tecno camon pro g sekarang atau nunggu tahun dengar dengar mau keluar yang camon pro nya,2025-12-07 06:15:37+00:00,103,netral
Jagat Review,@haiwokz,xprog nya buat taun kedepan masi worth it gak ya kira bang,2025-12-07 05:31:00+00:00,58,positif
Jagat Review,@EdiSantuy,terlalu panjang review nya lebih kayak denger orang dongeng brklo soal review kamera saya suka yg lainnya terlalu panjang pembahasannya,2025-12-07 04:58:40+00:00,135,positif
Jagat Review,@ReflyTl6r,bang kris cocok rambut model gitu,2025-12-07 00:51:41+00:00,33,netral
Jagat Review,@WesNgonoAe,tolong dijawab iphone pro oppo find x pro foco f ultra iqoo mana yg recommended untuk dibeli,2025-12-06 17:16:10+00:00,92,positif
Jagat Review,@rapjoestar,tergantung kebutuhan,2025-12-07 01:33:55+00:00,20,netral
Jagat Review,@ivantjokrowinoto7125,samsung a g ga worth ya bang berarti mending a aja,2025-12-06 06:49:27+00:00,50,positif
Jagat Review,@user-fz1wz2qw7b,tecno camon pro memang kerendi tunggu apakah seri di tingkatkan mah dan telephoto camera,2025-12-06 04:40:44+00:00,88,positif
Jagat Review,@r34nx42,ada yg diincer ga nih,2025-12-06 01:03:52+00:00,21,netral
Jagat Review,@rock5403,f gw masih masuk emang masih ada yang jual baru bukan yg bekas,2025-12-05 20:52:06+00:00,62,netral
Jagat Review,@aynd_b,infinix gt pro setelah update terakhir ini jadi lebih adem juga kok,2025-12-05 19:36:42+00:00,67,netral
Jagat Review,@RoseWhite27,lah motorola knp ga masuk dah,2025-12-05 18:49:26+00:00,29,netral
Jagat Review,@GuluGal4,gt typo k dong bukan k,2025-12-05 15:22:30+00:00,22,netral
Jagat Review,@Wong_liyo_ngerti_opo,redmi note pro g kok gk ada,2025-12-05 13:35:15+00:00,27,netral
Jagat Review,@kangMuel2707,a href saya mencium ada poco baru x sepertia,2025-12-05 07:45:13+00:00,44,netral
Jagat Review,@andrieputra,min bikinin kompilasi smartphone android buat fan cam konser dong yang bisa ngezoom jauh x zoomnya,2025-12-05 06:49:47+00:00,98,netral
Jagat Review,@gamblanggamblang-f7u,kembar,2025-12-05 02:01:34+00:00,6,netral
Jagat Review,@nabilajasmine9691,dah trauma pakai poco dan infinix poco tahun mati total infinix baru sebulan signal hilang cuma bisa pakai wifi dan treating hp lain,2025-12-04 16:39:18+00:00,132,netral
Jagat Review,@AlifianCenk,ayo ommm mana versi jutaan nyaaa,2025-12-04 15:00:25+00:00,32,netral
Jagat Review,@yumayumachi,gw udah beli yg zbremang gilak itu batere nya aweeeeeetttttbrbrbeli di dpt diskon dari tokped jadi harga jt pas yg bra href ambil yg gb harusnya pinjem duit dulu dehbrbrbuat game berat maenfull jam masih sisah anjaybrngecasnya ga sampe sejam dah full pula hp apa ini brga nyesel,2025-12-04 14:54:22+00:00,278,netral
Jagat Review,@randm_clips02,di offline store ada ga,2025-12-25 10:04:08+00:00,23,netral
Jagat Review,@rifalde12,enak gak bang dipakenya saya rencana mau ambil ini hp,2026-03-14 02:14:59+00:00,53,netral
Jagat Review,@hirokageyama4422,itu bapaknya om dedy ka,2025-12-04 13:46:21+00:00,23,netral
Jagat Review,@arisyakanaya7860,harusnya ada kesimpulan dari kamu pilihan terbaiknya milih apa dari semua yg di rekomendasiin,2025-12-04 12:19:25+00:00,93,netral
Jagat Review,@fifalarasta9855,pilih sesuai kebutuhan,2025-12-09 17:38:47+00:00,22,netral
Jagat Review,@kepolu3833,poco f kapan rilis ya,2025-12-04 10:34:25+00:00,21,netral
Jagat Review,@elsinatra6080,always on display maksudnya apa bang,2025-12-04 08:40:49+00:00,36,netral
Jagat Review,@rizqieprabowo7715,tecno camon jt lu asbun ye,2025-12-04 07:39:37+00:00,26,netral
Jagat Review,@4nd_ry,ini ga ada yg senggol appcloud bloatware spyware israel di galaxy a dan m series apabrapp ga bs dihapus krn tertanam di os samsung,2025-12-04 06:00:12+00:00,130,netral
Jagat Review,@girangppk1091,poco f bukannya ip ratenya ip ya,2025-12-04 01:35:46+00:00,32,netral
Jagat Review,@sstovy5072,mendang mending t seken ga ya,2025-12-03 22:55:43+00:00,29,netral
Jagat Review,@wawaniriawan1222,bamg saran aja hp yg masuk rekomendasi disini lampirkan juga link reviewnya biar gmpang utk liat reviewnya,2025-12-03 17:25:08+00:00,106,netral
Jagat Review,@indradalopez,mantep banget kalo review,2025-12-03 16:10:07+00:00,25,netral
Jagat Review,@bangbram4548,q nonton dr pertama unboxing redmi x,2025-12-03 15:25:34+00:00,36,netral
Jagat Review,@ilhamdiaz6924,udah pake iqoo z selama setaun dan memuaskan,2025-12-03 15:08:04+00:00,44,netral
